"AU","TI","PY","DE"
"GRUMBACH K;COTTLER LB;BROWN J;LESARRE M;GONZALEZ-FISHER RF;WILLIAMS CD;MICHENER JL;NEASE DE;TANDON D;VARMA DS;EDER M","IT SHOULD NOT REQUIRE A PANDEMIC TO MAKE COMMUNITY ENGAGEMENT IN RESEARCH LEADERSHIP ESSENTIAL, NOT OPTIONAL",2021,"COMMUNITY ENGAGEMENT; TRANSLATIONAL SCIENCE; EQUITY"
"SHIN EJ","DISPARITIES IN ACCESS TO OPPORTUNITIES ACROSS NEIGHBORHOODS TYPES: A CASE STUDY FROM THE LOS ANGELES REGION",2020,"ACCESSIBILITY; NEIGHBORHOOD DISPARITIES; MODAL DISPARITIES; ETHNIC NEIGHBORHOODS; NON-WORK OPPORTUNITIES"
"BODA PA","CONCEPTUALIZING THE MARGINS IN SCIENCE EDUCATION: THE LIMITS OF MULTICULTURAL ANALYSES",2019,"MULTICULTURAL TEACHER EDUCATION; EQUITY; PHENOMENOGRAPHY; THEORY TO PRACTICE; DISABILITY STUDIES; CRITICAL THEORY"
"DEGUEN S;ZMIROU-NAVIER D","SOCIAL INEQUALITIES RESULTING FROM HEALTH RISKS RELATED TO AMBIENT AIR QUALITY-A EUROPEAN REVIEW",2010,"AIR POLLUTION; ENVIRONMENTAL INEQUALITIES; HEALTH INEQUALITIES; SOCIAL DETERMINANTS"
"ENDERS FT;GOLEMBIEWSKI EH;ORELLANA M;SILVANO CJ;SLOAN J;BALLS-BERRY J","THE HIDDEN CURRICULUM IN HEALTH CARE ACADEMIA: AN EXPLORATORY STUDY FOR THE DEVELOPMENT OF AN ACTION PLAN FOR THE INCLUSION OF DIVERSE TRAINEES",2021,"HIDDEN CURRICULUM; MENTORSHIP; DOCTORAL EDUCATION; DIVERSITY; EQUITY; INCLUSION; PROFESSIONAL DEVELOPMENT"
"CIFUENTES-ESPINOSA JA;FEINTRENIE L;GUTIERREZ-MONTES I;SIBELET N","ECOSYSTEM SERVICES AND GENDER IN RURAL AREAS OF NICARAGUA: DIFFERENT PERCEPTIONS ABOUT THE LANDSCAPE",2021,"LAND USE; PARTICIPATORY MAPPING; PEBBLE DISTRIBUTION METHOD; AGROECOSYSTEM; CENTRAL AMERICA"
"HARITON E;RAKER CA;FRISHMAN GN;FEINBERG EC","PERCEPTIONS AND LESSONS FROM WEB-BASED INTERVIEWS FOR THE REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY FELLOWSHIP APPLICATION CYCLE",2021,"COVID-19; EQUITY; FELLOWSHIP INTERVIEWS; MEDICAL EDUCATION; WEB-BASED INTERVIEWS; VIDEO INTERVIEWS"
"ALI PA;SALWAY S;SUCH E;DEARDEN A;WILLOX M","ENHANCING HEALTH LITERACY THROUGH CO-DESIGN: DEVELOPMENT OF CULTURALLY APPROPRIATE MATERIALS ON GENETIC RISK AND CUSTOMARY CONSANGUINEOUS MARRIAGE",2018,"CO-DESIGN; CONSANGUINITY; COUSIN MARRIAGE; ETHNICITY; GENETIC RISK; HEALTH EQUITY; HEALTH LITERACY; MIGRANT; PARTICIPATORY"
"BAY JH","TOWARDS A FOURTH ECOLOGY: SOCIAL AND ENVIRONMENTAL SUSTAINABILITY WITH ARCHITECTURE AND URBAN DESIGN",2010,"ECOLOGY; SUSTAINABILITY; ARCHITECTURE; MODERN ARCHITECTURE; FUNCTIONALISM; ECOLOGICALLY SUSTAINABLE DESIGN; RATING TOOLS; SOCIAL AND ENVIRONMENTAL; COMMUNITY; SOCIAL CAPITAL; SOCIO-CLIMATIC; BIOCLIMATIC; HUMAN BEHAVIOR; DIVERSITY; HUMAN POTENTIAL"
"DU PLESSIS T","THE REVISION OF LANGUAGE POLICY AT THE UNIVERSITY OF THE FREE STATE, 2003-2015",2016,"DOUBLE-MEDIUM EDUCATION; MONOLINGUALISM; MULTILINGUALISM; MULTICULTURALISM; MEDIUM OF INSTRUCTION; EDUCATION LANGUAGE POLICY; PARALLEL-MEDIUM EDUCATION; LANGUAGE POLICY; LANGUAGE POLICY HIGHER EDUCATION; LANGUAGE POLICY EVALUATION; LANGUAGE POLICY REVIEW; LANGUAGE DIVERSITY; BILINGUALISM"
